dataset_name,evaluation_region,metric,case_count,valid_count,mean,median,std,min,max
synthetic_degradation,outside_mask_region,restored_mse,50,50,0.0,0.0,0.0,0.0,0.0
synthetic_degradation,mask_bbox_crop,restored_mse,50,50,184.71267849653958,29.571682929992676,371.57956588266535,0.18919146060943604,2080.345703125
canonical,full_image,restored_mae,250,250,0.654062471345067,0.31739693880081177,0.781905353202315,0.0,3.7232015132904053
canonical,content_region,restored_mae,250,250,0.8486380721032619,0.4043714255094528,0.9902396471220546,0.0,4.274026393890381
canonical,masked_region,restored_mae,200,200,13.052225685119629,11.71529245376587,6.771910700810098,2.1866252422332764,36.86805725097656
canonical,boundary_region,restored_mae,200,200,3.413843285739422,3.290794849395752,1.4019958994960509,0.859558641910553,9.755230903625488
canonical,outside_mask_region,restored_mae,200,200,0.0,0.0,0.0,0.0,0.0
canonical,mask_bbox_crop,restored_mae,200,200,2.9795124723948536,0.991925060749054,4.331853825569859,0.03959519788622856,18.41693115234375
damage_size,full_image,restored_mae,35,35,1.0456528145287718,0.9520794749259949,0.8258624653666015,0.06188399717211723,3.653700113296509
damage_size,content_region,restored_mae,35,35,1.4058412228311812,1.1967217922210693,1.1140624989243841,0.08984293043613434,4.975251197814941
damage_size,masked_region,restored_mae,35,35,14.698452813284737,14.910696983337402,6.998501198964464,4.480258464813232,41.65007781982422
damage_size,boundary_region,restored_mae,35,35,2.78084408555712,2.910527229309082,0.7945667933588632,1.2918789386749268,4.4441819190979
damage_size,outside_mask_region,restored_mae,35,35,0.0,0.0,0.0,0.0,0.0
damage_size,mask_bbox_crop,restored_mae,35,35,7.7786113670894075,7.749264240264893,3.3939146486162337,2.245365858078003,18.315671920776367
mask_robustness,full_image,restored_mae,75,75,0.714296763887008,0.3589307963848114,0.7977243110316857,0.0607045479118824,3.540170669555664
mask_robustness,content_region,restored_mae,75,75,0.9579368205865224,0.4817267954349518,1.0553620339768848,0.07031839340925217,4.820658206939697
mask_robustness,masked_region,restored_mae,75,75,12.413404630025228,10.714761734008789,7.110447861604693,3.610478401184082,38.4877815246582
mask_robustness,boundary_region,restored_mae,75,75,3.4188431866963707,2.9902102947235107,2.176687467436796,1.3050175905227661,18.246139526367188
mask_robustness,outside_mask_region,restored_mae,75,75,0.0,0.0,0.0,0.0,0.0
mask_robustness,mask_bbox_crop,restored_mae,75,75,3.515945419271787,0.8663803935050964,4.800747292545362,0.07720638066530228,21.551902770996094
synthetic_degradation,full_image,restored_mae,50,50,2.669235718138516,0.7282344698905945,5.519249095672352,0.0125868059694767,32.449867248535156
synthetic_degradation,content_region,restored_mae,50,50,3.473305908832699,1.0133574903011322,6.790969404736417,0.014580191113054752,37.58900833129883
synthetic_degradation,masked_region,restored_mae,50,50,6.966838858053088,4.921491622924805,7.91655214132388,0.04136624559760094,40.248714447021484
synthetic_degradation,boundary_region,restored_mae,50,50,0.6041564884781837,0.294294148683548,0.8880762677675909,0.0,5.011277198791504
synthetic_degradation,outside_mask_region,restored_mae,50,50,0.0,0.0,0.0,0.0,0.0
synthetic_degradation,mask_bbox_crop,restored_mae,50,50,4.8771389465034005,2.565760016441345,6.758837339336299,0.014292452484369278,36.7032356262207
canonical,full_image,restored_psnr,250,200,36.62266009160153,36.660452745073464,6.4697480358695545,23.60123705757865,51.8128693628426
canonical,content_region,restored_psnr,250,200,35.45436167797264,35.53511814598898,6.463076219142732,22.650476433131193,51.580729867869806
canonical,masked_region,restored_psnr,200,200,22.919479892148725,22.546893164173618,4.363915851473211,13.14345393919578,36.65330016066939
canonical,boundary_region,restored_psnr,200,200,30.315457020920448,30.017753568399115,3.556471562818477,22.574868811320936,43.36197736780164
canonical,outside_mask_region,restored_psnr,200,0,,,,,
canonical,mask_bbox_crop,restored_psnr,200,200,33.274896360078294,33.56435256154639,8.081704032779674,15.92095896038381,51.54096444523863
damage_size,full_image,restored_psnr,35,35,34.42898063154774,32.34634560367647,5.908670663227391,25.538532180887906,51.268762973896486
damage_size,content_region,restored_psnr,35,35,33.149963385539905,30.873613099297938,5.871202054271216,24.197709806243736,49.649707552247975
damage_size,masked_region,restored_psnr,35,35,21.8087752391457,20.890246070745423,4.000478710271891,13.237508583200517,32.67151572011628
